Set,Description,Feature #,Data row,beta,t_NW,p_NW,sig_05,sig_001
u2,Spread & Mid-Price,1,40,-0.001073125576451549,-0.8816321128239596,0.3779768232842732,False,False
u2,Spread & Mid-Price,2,41,-0.0017224293577404023,-1.2809974010908864,0.20019603669462752,False,False
u2,Spread & Mid-Price,3,42,-0.0017853747294787705,-1.4314243393007795,0.1523101704437224,False,False
u2,Spread & Mid-Price,4,43,-0.01730278999361345,-1.5176141716543665,0.12911324335216479,False,False
u2,Spread & Mid-Price,5,44,-0.013823648669933023,-1.5371805514781482,0.1242506541006664,False,False
u2,Spread & Mid-Price,6,45,-0.011142097771128966,-1.5208764540038657,0.1282923952724341,False,False
u2,Spread & Mid-Price,7,46,-0.008231030848298829,-1.5896015540088972,0.1119261978126041,False,False
u2,Spread & Mid-Price,8,47,-0.007865331251787741,-1.6653863058502154,0.0958372468208508,False,False
u2,Spread & Mid-Price,9,48,-0.006654731294894453,-1.6222373824969618,0.10475407722945028,False,False
u2,Spread & Mid-Price,10,49,-0.005285997741376446,-1.621936553604788,0.10481848073313133,False,False
u2,Spread & Mid-Price,11,50,-0.0010488673662546117,-1.3818328195967693,0.1670245540619373,False,False
u2,Spread & Mid-Price,12,51,-0.0010482724138150149,-1.3810359728741253,0.16726941466387507,False,False
u2,Spread & Mid-Price,13,52,-0.001048204434984341,-1.3808771252383092,0.16731825869515388,False,False
u2,Spread & Mid-Price,14,53,-0.0010481022905949647,-1.3806974714531643,0.16737351331779107,False,False
u2,Spread & Mid-Price,15,54,-0.001048019543227185,-1.3805463382253964,0.16742000672540347,False,False
u2,Spread & Mid-Price,16,55,-0.001048012673594588,-1.3804277003507182,0.16745651032150896,False,False
u2,Spread & Mid-Price,17,56,-0.0010476725350712843,-1.3806260787691351,0.1673954747785254,False,False
u2,Spread & Mid-Price,18,57,-0.0010478210391372828,-1.3806547195392427,0.16738666418791556,False,False
u2,Spread & Mid-Price,19,58,-0.0010473485023820496,-1.380023446753055,0.16758093969650725,False,False
u2,Spread & Mid-Price,20,59,-0.001047307448098269,-1.3791396791349229,0.16785320547943774,False,False
u3,Price Differences,1,60,0.0009314065663688457,0.21203294079659546,0.8320815475540387,False,False
u3,Price Differences,2,61,-0.0062493913213138574,-1.1464708139562425,0.25160174288744724,False,False
u3,Price Differences,3,62,-0.0056766349350387425,-1.167613746774007,0.24296396873336787,False,False
u3,Price Differences,4,63,-0.0014345895146134408,-0.6159253300578873,0.5379444908048212,False,False
u3,Price Differences,5,64,-0.002376503127034262,-0.9775238822020784,0.32831102069797813,False,False
u3,Price Differences,6,65,0.0004763281298918933,0.1571851445008836,0.8750990914559571,False,False
u3,Price Differences,7,66,-0.0035894808577237726,-1.5918079554336744,0.11142941311825351,False,False
u3,Price Differences,8,67,-0.0009401144590692239,-0.6555566503228866,0.5121101652758049,False,False
u3,Price Differences,9,68,-0.0009615039266167545,-0.8143233017007508,0.41546071571390175,False,False
u3,Price Differences,10,69,-0.006016047193064672,-1.0312046998722821,0.30244606095794413,False,False
u3,Price Differences,11,70,-0.013216954192777,-3.2793137579520195,0.0010407730897772276,True,False
u3,Price Differences,12,71,-0.008422523508863968,-2.514830858534415,0.011909713484702147,True,False
u3,Price Differences,13,72,-0.009035638120645624,-2.3967668977930012,0.016541337592819092,True,False
u3,Price Differences,14,73,-0.0038641935505009,-1.6621437001390298,0.09648550324111346,False,False
u3,Price Differences,15,74,-0.0028969530077503666,-1.4955757658901503,0.1347657907847896,False,False
u3,Price Differences,16,75,-0.0026609313635069026,-1.547957552656317,0.12163406942881724,False,False
u3,Price Differences,17,76,-0.003132371803992002,-1.8518488108169995,0.06404898164033081,False,False
u3,Price Differences,18,77,-0.003243874433107969,-1.9112803438184116,0.05596996494841068,False,False
u3,Price Differences,19,78,-0.001540079203840886,-1.156192879425021,0.2476036271354786,False,False
u3,Price Differences,20,79,-0.009421676523737477,-2.1186530914210198,0.03412100186299496,True,False
u4,Price & Volume Means,1,80,-0.0010458011834257254,-1.3813442479682625,0.16717465378114277,False,False
u4,Price & Volume Means,2,81,-0.0010501242568221258,-1.3798238366766817,0.16764240534239142,False,False
u4,Price & Volume Means,3,82,0.002067701036069895,1.216628949495764,0.22374683207394686,False,False
u4,Price & Volume Means,4,83,0.0007222299324863817,1.6427347560551826,0.1004393672211944,False,False
u5,Accumulated Differences,1,84,-0.01130769619468862,-1.5716907277444252,0.11602384607530572,False,False
u5,Accumulated Differences,2,85,-0.0010479649811326545,-1.3805862240910214,0.16740773561700611,False,False
u6,Price & Volume Derivatives,1,86,0.018467423488559544,11.285238340332928,1.5838772952720928e-29,True,True
u6,Price & Volume Derivatives,2,87,0.005929087032752955,8.017538415023157,1.0845047875934537e-15,True,True
u6,Price & Volume Derivatives,3,88,0.022053938227366076,10.83528799780276,2.3828828384915773e-27,True,True
u6,Price & Volume Derivatives,4,89,-0.011255020388439748,-1.764505432931565,0.07764841925209888,False,False
u6,Price & Volume Derivatives,5,90,0.010358288979440257,4.737577378301721,2.164337023537919e-06,True,True
u6,Price & Volume Derivatives,6,91,0.003190934308868581,6.621797082392541,3.557337237124816e-11,True,True
u6,Price & Volume Derivatives,7,92,0.01648304880223524,7.242243000438305,4.4287236156699753e-13,True,True
u6,Price & Volume Derivatives,8,93,-0.008885348481884405,-2.2117925653660877,0.026982106209956967,True,False
u6,Price & Volume Derivatives,9,94,0.005489159836214604,1.8592033520017195,0.06299976012814866,False,False
u6,Price & Volume Derivatives,10,95,0.0024688778693347656,7.1728124408969,7.372064183322171e-13,True,True
u6,Price & Volume Derivatives,11,96,0.010759885078325053,4.609600155478955,4.036883322744725e-06,True,True
u6,Price & Volume Derivatives,12,97,-0.0006414051545458454,-0.6220771409475705,0.5338918411002394,False,False
u6,Price & Volume Derivatives,13,98,0.003911592102492204,1.924689154367246,0.05426964862166228,False,False
u6,Price & Volume Derivatives,14,99,-0.0002350136287679957,-0.3814331569037958,0.7028822593242625,False,False
u6,Price & Volume Derivatives,15,100,0.009151638438897387,5.949564210906949,2.692940005017632e-09,True,True
u6,Price & Volume Derivatives,16,101,-0.0010268779920812872,-1.7455922036953067,0.08088334496772313,False,False
u6,Price & Volume Derivatives,17,102,0.003740806527596009,3.934935971266199,8.324645262789362e-05,True,True
u6,Price & Volume Derivatives,18,103,-0.00024200472742418885,-0.34902052764484437,0.7270742592324047,False,False
u6,Price & Volume Derivatives,19,104,0.007153433777423886,6.373906331646915,1.8466482331422987e-10,True,True
u6,Price & Volume Derivatives,20,105,0.0010599021336070247,1.7105746937592285,0.08716117587815825,False,False
u6,Price & Volume Derivatives,21,106,0.0001276991646470541,0.04676413430009091,0.9627012602491566,False,False
u6,Price & Volume Derivatives,22,107,0.0006216690864819502,0.77508524124501,0.43829019130424063,False,False
u6,Price & Volume Derivatives,23,108,0.005318725315021792,6.540626255896494,6.140580939936921e-11,True,True
u6,Price & Volume Derivatives,24,109,-0.0001556560092074525,-0.23680500944203958,0.812808303126528,False,False
u6,Price & Volume Derivatives,25,110,-0.00014822422695994218,-0.06285807073097192,0.949879585139501,False,False
u6,Price & Volume Derivatives,26,111,-0.00021302599847108165,-0.4451474617450369,0.6562136643899523,False,False
u6,Price & Volume Derivatives,27,112,0.004032007321139012,6.45389643539879,1.0925360308499216e-10,True,True
u6,Price & Volume Derivatives,28,113,0.0011292465493269357,2.742033763497028,0.006106539190721374,True,False
u6,Price & Volume Derivatives,29,114,0.0016226108543177776,3.030683111741537,0.0024403178342592606,True,False
u6,Price & Volume Derivatives,30,115,8.04696321836436e-05,0.44018647097822844,0.6598025244246563,False,False
u6,Price & Volume Derivatives,31,116,0.0032508037517080157,6.454896630611817,1.0853462227256709e-10,True,True
u6,Price & Volume Derivatives,32,117,-4.683385125167784e-05,-0.19209960722805255,0.8476643739730454,False,False
u6,Price & Volume Derivatives,33,118,0.0012174998426256673,3.2086243623486004,0.00133392238574614,True,False
u6,Price & Volume Derivatives,34,119,1.575331740259329e-05,0.06827834516626752,0.945564128934935,False,False
u6,Price & Volume Derivatives,35,120,0.0029288545406487908,6.039472204457192,1.548853836655316e-09,True,True
u6,Price & Volume Derivatives,36,121,-0.0002491417355456499,-1.011526079671445,0.3117659063586801,False,False
u6,Price & Volume Derivatives,37,122,0.000933226263837857,2.361126113393503,0.018220469219672276,True,False
u6,Price & Volume Derivatives,38,123,0.0004362166270808978,2.7327834205406036,0.0062807026142993345,True,False
u6,Price & Volume Derivatives,39,124,0.0025106201934523772,5.0241793243704285,5.06015994399189e-07,True,True
u6,Price & Volume Derivatives,40,125,-0.0007148671556537939,-2.471655289003217,0.013449723532538019,True,False
u7,Avg Intensity per Type,1,126,-0.0005427161475655322,-1.1976190009894445,0.2310667684451885,False,False
u7,Avg Intensity per Type,2,127,0.0003923359314158045,0.8959176951753853,0.3702977809128897,False,False
u7,Avg Intensity per Type,3,128,0.0004532061449944735,0.9174451083419926,0.3589105302258079,False,False
u7,Avg Intensity per Type,4,129,0.0,0.0,1.0,False,False
u7,Avg Intensity per Type,5,130,0.0,0.0,1.0,False,False
u7,Avg Intensity per Type,6,131,0.0,0.0,1.0,False,False
u8,Relative Intensity Comparison,1,132,-0.0017773751271077886,-1.6034036345747684,0.1088471188639083,False,False
u8,Relative Intensity Comparison,2,133,-0.0004439883169328565,-0.8395323797627945,0.40117161173388616,False,False
u8,Relative Intensity Comparison,3,134,-0.0005972814349481469,-1.029888820303216,0.30306342167614386,False,False
u8,Relative Intensity Comparison,4,135,0.0,0.0,1.0,False,False
u8,Relative Intensity Comparison,5,136,0.0,0.0,1.0,False,False
u8,Relative Intensity Comparison,6,137,0.0,0.0,1.0,False,False
u9,Limit Activity Acceleration,1,138,-0.00110775149006708,-1.2250142056767046,0.22057128409083226,False,False
u9,Limit Activity Acceleration,2,139,0.0002613762302854702,0.8135041429134285,0.41593002241191945,False,False
u9,Limit Activity Acceleration,3,140,0.00024444330679399315,0.7670885391034783,0.4430297642865255,False,False
u9,Limit Activity Acceleration,4,141,0.0,0.0,1.0,False,False
u9,Limit Activity Acceleration,5,142,0.0,0.0,1.0,False,False
u9,Limit Activity Acceleration,6,143,0.0,0.0,1.0,False,False
